"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed"
"alameda",2013,2366341383,1548681,1528,240,NA
"alameda",2013,2366341383,1548681,1528,50,NA
"alameda",2013,2366341383,1548681,1528,150,NA
"alameda",2013,2366341383,1548681,1528,38,NA
"alameda",2015,2459908014,1594569,1543,2700,NA
"alameda",2015,2459908014,1594569,1543,45,NA
"alameda",2015,2459908014,1594569,1543,53,NA
"alameda",2015,2459908014,1594569,1543,300,NA
"alameda",2015,2459908014,1594569,1543,242,NA
"alameda",2016,2638195535,1627865,1621,211,NA
"alameda",2017,2949248612,1645359,1792,200,NA
"alameda",2017,2949248612,1645359,1792,116,NA
"alameda",2017,2949248612,1645359,1792,22,NA
"alameda",2017,2949248612,1645359,1792,44,NA
"alameda",2017,2949248612,1645359,1792,155,NA
"alameda",2018,3057808028,1660202,1842,640,NA
"alameda",2018,3057808028,1660202,1842,34,NA
"alameda",2018,3057808028,1660202,1842,30,NA
"alameda",2018,3057808028,1660202,1842,48,NA
"alameda",2018,3057808028,1660202,1842,20,NA
"alameda",2018,3057808028,1660202,1842,484,1
"alameda",2018,3057808028,1660202,1842,12,NA
"alameda",2018,3057808028,1660202,1842,20,NA
"alameda",2019,3609996506,1669301,2163,12,NA
"alameda",2019,3609996506,1669301,2163,11,NA
"alameda",2019,3609996506,1669301,2163,35,NA
"alameda",2019,3609996506,1669301,2163,22,NA
"alameda",2019,3609996506,1669301,2163,240,NA
"alameda",2019,3609996506,1669301,2163,19,NA
"alameda",2019,3609996506,1669301,2163,30,NA
"alameda",2019,3609996506,1669301,2163,139,NA
"alpine",2015,16682857,1121,14882,0,NA
"alpine",2016,17024071,1166,14600,0,NA
"amador",2013,57628482,36741,1569,96,NA
"amador",2014,63278973,36151,1750,4240,67
"amador",2015,69467537,36312,1913,60,NA
"amador",2015,69467537,36312,1913,355,NA
"amador",2016,67084790,37707,1779,372,NA
"amador",2016,67084790,37707,1779,19,NA
"amador",2016,67084790,37707,1779,210,NA
"amador",2016,67084790,37707,1779,26,NA
"amador",2016,67084790,37707,1779,45,NA
"amador",2017,73472682,38382,1914,10,NA
"amador",2018,77617058,38094,2038,825,1
"amador",2018,77617058,38094,2038,17,NA
"amador",2019,91942520,38294,2401,10,NA
"butte",2013,347423855,221485,1569,72,NA
"butte",2013,347423855,221485,1569,150,NA
"butte",2013,347423855,221485,1569,305,4
"butte",2013,347423855,221485,1569,92,NA
"butte",2013,347423855,221485,1569,2462,7
"butte",2013,347423855,221485,1569,298,9
"butte",2013,347423855,221485,1569,80,NA
"butte",2014,339367456,222316,1527,72,NA
"butte",2014,339367456,222316,1527,60,NA
"butte",2014,339367456,222316,1527,389,NA
"butte",2015,364962980,224323,1627,400,16
"butte",2015,364962980,224323,1627,860,NA
"butte",2015,364962980,224323,1627,72,1
"butte",2015,364962980,224323,1627,1042,NA
"butte",2015,364962980,224323,1627,104,NA
"butte",2015,364962980,224323,1627,75,NA
"butte",2016,369579116,224601,1645,49,NA
"butte",2016,369579116,224601,1645,130,NA
"butte",2016,369579116,224601,1645,35,NA
"butte",2016,369579116,224601,1645,88,NA
"butte",2016,369579116,224601,1645,30,NA
"butte",2016,369579116,224601,1645,112,NA
"butte",2016,369579116,224601,1645,91,NA
"butte",2016,369579116,224601,1645,30,NA
"butte",2016,369579116,224601,1645,550,NA
