"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"ALAMEDA",2015,2459908014,1594569,1543,2700,NA,2014,2448572609,1573254,2016,2638195535,1627865
"AMADOR",2014,63278973,36151,1750,4240,67,2013,57628482,36741,2015,69467537,36312
"BUTTE",2013,347423855,221485,1569,2462,7,2012,351293697,221273,2014,339367456,222316
"BUTTE",2015,364962980,224323,1627,1042,NA,2014,339367456,222316,2016,369579116,224601
"BUTTE",2017,405180116,226404,1790,6151,74,2016,369579116,224601,2018,423294813,227621
"BUTTE",2017,405180116,226404,1790,8417,6,2016,369579116,224601,2018,423294813,227621
"BUTTE",2017,405180116,226404,1790,4016,54,2016,369579116,224601,2018,423294813,227621
"BUTTE",2017,405180116,226404,1790,6033,41,2016,369579116,224601,2018,423294813,227621
"BUTTE",2018,423294813,227621,1860,153336,18804,2017,405180116,226404,2019,462029993,226466
"COLUSA",2018,61167967,22098,2768,48920,35,2017,56417543,22043,2019,66171628,22117
"COLUSA",2018,61167967,22098,2768,410203,246,2017,56417543,22043,2019,66171628,22117
"CONTRA COSTA",2013,2221080341,1074702,2067,3111,NA,2012,2068070533,1065117,2014,2333410531,1087008
"DEL NORTE",2015,68798879,28031,2454,30361,NA,2014,68122777,28131,2016,71405306,26811
"DEL NORTE",2015,68798879,28031,2454,7509,NA,2014,68122777,28131,2016,71405306,26811
"EL DORADO",2014,293637831,182404,1610,4240,67,2013,284773753,182286,2015,291471085,184917
"EL DORADO",2014,293637831,182404,1610,97717,80,2013,284773753,182286,2015,291471085,184917
"EL DORADO",2016,310061101,183750,1687,5646,NA,2015,291471085,184917,2017,320597586,185062
"EL DORADO",2019,447199542,191848,2331,3435,NA,2018,333516608,188399,2020,462093559,193227
"FRESNO",2013,1268655618,952166,1332,22992,NA,2012,1203004648,945711,2014,1318767726,964040
"FRESNO",2015,1376617063,972297,1416,151623,NA,2014,1318767726,964040,2016,1488440576,984541
"FRESNO",2016,1488440576,984541,1512,2241,4,2015,1376617063,972297,2017,1683934000,995975
"FRESNO",2016,1488440576,984541,1512,2944,NA,2015,1376617063,972297,2017,1683934000,995975
"FRESNO",2016,1488440576,984541,1512,7050,2,2015,1376617063,972297,2017,1683934000,995975
"FRESNO",2016,1488440576,984541,1512,2100,NA,2015,1376617063,972297,2017,1683934000,995975
"FRESNO",2017,1683934000,995975,1691,10343,NA,2016,1488440576,984541,2018,1770913000,1007229
"FRESNO",2017,1683934000,995975,1691,1649,NA,2016,1488440576,984541,2018,1770913000,1007229
"FRESNO",2017,1683934000,995975,1691,1538,NA,2016,1488440576,984541,2018,1770913000,1007229
"FRESNO",2017,1683934000,995975,1691,5738,NA,2016,1488440576,984541,2018,1770913000,1007229
"GLENN",2018,84691057,28796,2941,410203,246,2017,74713016,28731,2019,91677332,29132
"GLENN",2018,84691057,28796,2941,2290,1,2017,74713016,28731,2019,91677332,29132
"HUMBOLDT",2013,237749673,135209,1758,12503,NA,2012,242001920,134587,2014,255394014,134648
"HUMBOLDT",2015,263699647,134398,1962,4883,7,2014,255394014,134648,2016,278719066,135116
"HUMBOLDT",2018,367766900,136002,2704,3674,NA,2017,307219596,136953,2019,388436302,135333
"INYO",2015,68983106,18574,3714,7000,40,2014,68985619,18590,2016,70957422,18650
"INYO",2016,70957422,18650,3805,5443,NA,2015,68983106,18574,2017,75895392,18619
"INYO",2018,79628705,18577,4286,2070,NA,2017,75895392,18619,2019,84868491,18593
"INYO",2018,79628705,18577,4286,2883,NA,2017,75895392,18619,2019,84868491,18593
"INYO",2018,79628705,18577,4286,1265,NA,2017,75895392,18619,2019,84868491,18593
"INYO",2019,84868491,18593,4565,1975,NA,2018,79628705,18577,2020,89366804,18584
"INYO",2019,84868491,18593,4565,10296,NA,2018,79628705,18577,2020,89366804,18584
"KERN",2013,1677222851,857882,1955,4346,NA,2012,1617401714,850006,2014,1698256686,873092
"KERN",2014,1698256686,873092,1945,3895,NA,2013,1677222851,857882,2015,1799121449,874264
"KERN",2014,1698256686,873092,1945,4045,NA,2013,1677222851,857882,2015,1799121449,874264
"KERN",2014,1698256686,873092,1945,1680,NA,2013,1677222851,857882,2015,1799121449,874264
"KERN",2016,1832093877,886507,2067,29322,NA,2015,1799121449,874264,2017,1834349504,895112
"KERN",2016,1832093877,886507,2067,48019,NA,2015,1799121449,874264,2017,1834349504,895112
"KERN",2016,1832093877,886507,2067,1785,NA,2015,1799121449,874264,2017,1834349504,895112
"KERN",2017,1834349504,895112,2049,1522,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,1319,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,1350,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,1200,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,1083,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,1626,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2017,1834349504,895112,2049,2940,NA,2016,1832093877,886507,2018,1862364108,905801
"KERN",2018,1862364108,905801,2056,2950,NA,2017,1834349504,895112,2019,1910928208,916464
"KERN",2019,1910928208,916464,2085,2500,NA,2018,1862364108,905801,2020,2068423396,917553
"KINGS",2017,268613402,149537,1796,2312,NA,2016,239998723,150373,2018,274851463,151662
"KINGS",2017,268613402,149537,1796,48889,1,2016,239998723,150373,2018,274851463,151662
"KINGS",2018,274851463,151662,1812,2995,NA,2017,268613402,149537,2019,295343229,153710
"LAKE",2014,122092336,64699,1887,4300,9,2013,113536967,64531,2015,124266357,64918
"LAKE",2015,124266357,64918,1914,25118,27,2014,122092336,64699,2016,149993687,64306
"LAKE",2015,124266357,64918,1914,69438,96,2014,122092336,64699,2016,149993687,64306
"LAKE",2016,149993687,64306,2332,3929,300,2015,124266357,64918,2017,141621306,64945
"LAKE",2017,141621306,64945,2181,2207,162,2016,149993687,64306,2018,148872930,65081
"LAKE",2018,148872930,65081,2288,48920,35,2017,141621306,64945,2019,187904772,65071
"LAKE",2018,148872930,65081,2288,410203,246,2017,141621306,64945,2019,187904772,65071
"LAKE",2018,148872930,65081,2288,15185,22,2017,141621306,64945,2019,187904772,65071
"LASSEN",2015,61709330,32092,1923,10570,NA,2014,58101710,32581,2016,63591051,30780
"LASSEN",2016,63591051,30780,2066,2575,7,2015,61709330,32092,2017,64789003,30918
"LASSEN",2017,64789003,30918,2096,6042,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2017,64789003,30918,2096,18618,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2017,64789003,30918,2096,83733,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2018,68779787,30911,2225,18703,NA,2017,64789003,30918,2019,72911743,30150
"LASSEN",2019,72911743,30150,2418,2438,NA,2018,68779787,30911,2020,81257321,28833
"LASSEN",2019,72911743,30150,2418,3380,NA,2018,68779787,30911,2020,81257321,28833
"LASSEN",2019,72911743,30150,2418,1020,NA,2018,68779787,30911,2020,81257321,28833
"LOS ANGELES",2013,18594909311,9958091,1867,30274,NA,2012,17396447967,9884632,2014,19367532018,10041797
"LOS ANGELES",2014,19367532018,10041797,1929,1952,NA,2013,18594909311,9958091,2015,20236668800,10136559
"LOS ANGELES",2016,20636464907,10241335,2015,4824,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2016,20636464907,10241335,2015,1109,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2016,20636464907,10241335,2015,5399,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2017,23422437171,10241278,2287,6049,6,2016,20636464907,10241335,2018,24829342650,10283729
"LOS ANGELES",2017,23422437171,10241278,2287,7194,NA,2016,20636464907,10241335,2018,24829342650,10283729
"LOS ANGELES",2017,23422437171,10241278,2287,15619,37,2016,20636464907,10241335,2018,24829342650,10283729
